STATEFP,COUNTYFP,COUNTYNAME,period,scenario,extra_heat_days
13,13063,Clayton,2099,low,50
13,13063,Clayton,2099,high,85
13,13065,Clinch,2045,low,30
13,13065,Clinch,2045,high,32
13,13065,Clinch,2065,low,42
13,13065,Clinch,2065,high,49
13,13065,Clinch,2099,low,50
13,13065,Clinch,2099,high,81
13,13067,Cobb,2045,low,27
13,13067,Cobb,2045,high,30
13,13067,Cobb,2065,low,40
13,13067,Cobb,2065,high,49
13,13067,Cobb,2099,low,50
13,13067,Cobb,2099,high,84
13,13069,Coffee,2045,low,29
13,13069,Coffee,2045,high,31
13,13069,Coffee,2065,low,41
13,13069,Coffee,2065,high,49
13,13069,Coffee,2099,low,50
13,13069,Coffee,2099,high,81
13,13071,Colquitt,2045,low,31
13,13071,Colquitt,2045,high,33
13,13071,Colquitt,2065,low,44
13,13071,Colquitt,2065,high,53
13,13071,Colquitt,2099,low,55
13,13071,Colquitt,2099,high,86
13,13073,Columbia,2045,low,28
13,13073,Columbia,2045,high,30
13,13073,Columbia,2065,low,40
13,13073,Columbia,2065,high,48
13,13073,Columbia,2099,low,49
13,13073,Columbia,2099,high,78
13,13075,Cook,2045,low,31
13,13075,Cook,2045,high,33
13,13075,Cook,2065,low,44
13,13075,Cook,2065,high,52
13,13075,Cook,2099,low,54
13,13075,Cook,2099,high,84
13,13077,Coweta,2045,low,27
13,13077,Coweta,2045,high,30
13,13077,Coweta,2065,low,41
13,13077,Coweta,2065,high,51
13,13077,Coweta,2099,low,52
13,13077,Coweta,2099,high,86
13,13079,Crawford,2045,low,30
13,13079,Crawford,2045,high,33
13,13079,Crawford,2065,low,43
13,13079,Crawford,2065,high,51
13,13079,Crawford,2099,low,53
13,13079,Crawford,2099,high,82
13,13081,Crisp,2045,low,26
13,13081,Crisp,2045,high,28
13,13081,Crisp,2065,low,37
13,13081,Crisp,2065,high,43
13,13081,Crisp,2099,low,45
13,13081,Crisp,2099,high,74
13,13083,Dade,2045,low,24
13,13083,Dade,2045,high,27
13,13083,Dade,2065,low,37
13,13083,Dade,2065,high,47
13,13083,Dade,2099,low,48
13,13083,Dade,2099,high,83
13,13085,Dawson,2045,low,23
13,13085,Dawson,2045,high,26
13,13085,Dawson,2065,low,35
13,13085,Dawson,2065,high,46
13,13085,Dawson,2099,low,46
13,13085,Dawson,2099,high,81
13,13087,Decatur,2045,low,31
13,13087,Decatur,2045,high,33
13,13087,Decatur,2065,low,43
13,13087,Decatur,2065,high,51
13,13087,Decatur,2099,low,53
13,13087,Decatur,2099,high,83
13,13089,DeKalb,2045,low,26
13,13089,DeKalb,2045,high,29
13,13089,DeKalb,2065,low,40
13,13089,DeKalb,2065,high,49
13,13089,DeKalb,2099,low,51
13,13089,DeKalb,2099,high,85
13,13091,Dodge,2045,low,26
13,13091,Dodge,2045,high,28
13,13091,Dodge,2065,low,38
13,13091,Dodge,2065,high,45
13,13091,Dodge,2099,low,46
13,13091,Dodge,2099,high,75
13,13093,Dooly,2045,low,27
13,13093,Dooly,2045,high,29
13,13093,Dooly,2065,low,39
13,13093,Dooly,2065,high,46
13,13093,Dooly,2099,low,48
13,13093,Dooly,2099,high,77
13,13095,Dougherty,2045,low,28
13,13095,Dougherty,2045,high,30
13,13095,Dougherty,2065,low,40
13,13095,Dougherty,2065,high,47
13,13095,Dougherty,2099,low,49
13,13095,Dougherty,2099,high,79
13,13097,Douglas,2045,low,27
13,13097,Douglas,2045,high,30
13,13097,Douglas,2065,low,40
13,13097,Douglas,2065,high,50
13,13097,Douglas,2099,low,51
13,13097,Douglas,2099,high,86
13,13099,Early,2045,low,30
13,13099,Early,2045,high,32
13,13099,Early,2065,low,43
13,13099,Early,2065,high,51
13,13099,Early,2099,low,53
13,13099,Early,2099,high,83
13,13101,Echols,2045,low,30
13,13101,Echols,2045,high,33
13,13101,Echols,2065,low,43
13,13101,Echols,2065,high,51
13,13101,Echols,2099,low,51
13,13101,Echols,2099,high,83
13,13103,Effingham,2045,low,31
13,13103,Effingham,2045,high,34
13,13103,Effingham,2065,low,45
13,13103,Effingham,2065,high,53
13,13103,Effingham,2099,low,55
13,13103,Effingham,2099,high,85
13,13105,Elbert,2045,low,26
13,13105,Elbert,2045,high,28
13,13105,Elbert,2065,low,38
13,13105,Elbert,2065,high,47
13,13105,Elbert,2099,low,47
13,13105,Elbert,2099,high,79
13,13107,Emanuel,2045,low,27
13,13107,Emanuel,2045,high,29
13,13107,Emanuel,2065,low,39
13,13107,Emanuel,2065,high,47
13,13107,Emanuel,2099,low,49
13,13107,Emanuel,2099,high,77
13,13109,Evans,2045,low,30
13,13109,Evans,2045,high,32
13,13109,Evans,2065,low,42
13,13109,Evans,2065,high,50
13,13109,Evans,2099,low,51
13,13109,Evans,2099,high,80
13,13111,Fannin,2045,low,17
13,13111,Fannin,2045,high,20
13,13111,Fannin,2065,low,28
13,13111,Fannin,2065,high,38
13,13111,Fannin,2099,low,38
13,13111,Fannin,2099,high,75
13,13113,Fayette,2045,low,27
13,13113,Fayette,2045,high,31
13,13113,Fayette,2065,low,41
13,13113,Fayette,2065,high,51
13,13113,Fayette,2099,low,52
13,13113,Fayette,2099,high,86
13,13115,Floyd,2045,low,28
13,13115,Floyd,2045,high,31
13,13115,Floyd,2065,low,41
13,13115,Floyd,2065,high,51
13,13115,Floyd,2099,low,52
13,13115,Floyd,2099,high,84
13,13117,Forsyth,2045,low,25
13,13117,Forsyth,2045,high,28
13,13117,Forsyth,2065,low,38
13,13117,Forsyth,2065,high,49
13,13117,Forsyth,2099,low,49
13,13117,Forsyth,2099,high,83
13,13119,Franklin,2045,low,27
13,13119,Franklin,2045,high,30
13,13119,Franklin,2065,low,40
13,13119,Franklin,2065,high,50
13,13119,Franklin,2099,low,51
13,13119,Franklin,2099,high,83
13,13121,Fulton,2045,low,26
13,13121,Fulton,2045,high,29
13,13121,Fulton,2065,low,39
13,13121,Fulton,2065,high,49
13,13121,Fulton,2099,low,50
13,13121,Fulton,2099,high,84
13,13123,Gilmer,2045,low,18
13,13123,Gilmer,2045,high,21
13,13123,Gilmer,2065,low,29
13,13123,Gilmer,2065,high,40
13,13123,Gilmer,2099,low,40
13,13123,Gilmer,2099,high,76
13,13125,Glascock,2045,low,30
13,13125,Glascock,2045,high,32
13,13125,Glascock,2065,low,42
13,13125,Glascock,2065,high,51
13,13125,Glascock,2099,low,53
13,13125,Glascock,2099,high,82
13,13127,Glynn,2045,low,30
13,13127,Glynn,2045,high,33
13,13127,Glynn,2065,low,44
13,13127,Glynn,2065,high,54
13,13127,Glynn,2099,low,54
13,13127,Glynn,2099,high,86
13,13129,Gordon,2045,low,27
13,13129,Gordon,2045,high,30
13,13129,Gordon,2065,low,40
13,13129,Gordon,2065,high,49
13,13129,Gordon,2099,low,50
13,13129,Gordon,2099,high,82
13,13131,Grady,2045,low,31
13,13131,Grady,2045,high,34
13,13131,Grady,2065,low,44
13,13131,Grady,2065,high,53
13,13131,Grady,2099,low,54
13,13131,Grady,2099,high,84
13,13133,Greene,2045,low,30
13,13133,Greene,2045,high,32
13,13133,Greene,2065,low,43
13,13133,Greene,2065,high,51
13,13133,Greene,2099,low,52
13,13133,Greene,2099,high,82
13,13135,Gwinnett,2045,low,27
13,13135,Gwinnett,2045,high,30
13,13135,Gwinnett,2065,low,41
13,13135,Gwinnett,2065,high,51
13,13135,Gwinnett,2099,low,52
13,13135,Gwinnett,2099,high,85
13,13137,Habersham,2045,low,21
13,13137,Habersham,2045,high,24
13,13137,Habersham,2065,low,33
13,13137,Habersham,2065,high,44
13,13137,Habersham,2099,low,44
13,13137,Habersham,2099,high,81
13,13139,Hall,2045,low,25
13,13139,Hall,2045,high,28
13,13139,Hall,2065,low,38
13,13139,Hall,2065,high,48
13,13139,Hall,2099,low,48
13,13139,Hall,2099,high,82
13,13141,Hancock,2045,low,31
13,13141,Hancock,2045,high,33
13,13141,Hancock,2065,low,43
13,13141,Hancock,2065,high,51
13,13141,Hancock,2099,low,53
13,13141,Hancock,2099,high,82
13,13143,Haralson,2045,low,26
13,13143,Haralson,2045,high,29
13,13143,Haralson,2065,low,40
13,13143,Haralson,2065,high,50
13,13143,Haralson,2099,low,52
13,13143,Haralson,2099,high,87
13,13145,Harris,2045,low,30
13,13145,Harris,2045,high,33
13,13145,Harris,2065,low,44
13,13145,Harris,2065,high,53
13,13145,Harris,2099,low,55
13,13145,Harris,2099,high,86
13,13147,Hart,2045,low,25
13,13147,Hart,2045,high,27
13,13147,Hart,2065,low,37
13,13147,Hart,2065,high,46
13,13147,Hart,2099,low,46
13,13147,Hart,2099,high,78
13,13149,Heard,2045,low,30
13,13149,Heard,2045,high,33
13,13149,Heard,2065,low,44
13,13149,Heard,2065,high,53
13,13149,Heard,2099,low,55
13,13149,Heard,2099,high,87
13,13151,Henry,2045,low,29
13,13151,Henry,2045,high,32
13,13151,Henry,2065,low,43
13,13151,Henry,2065,high,52
13,13151,Henry,2099,low,53
13,13151,Henry,2099,high,86
13,13153,Houston,2045,low,29
13,13153,Houston,2045,high,31
13,13153,Houston,2065,low,42
13,13153,Houston,2065,high,50
13,13153,Houston,2099,low,51
13,13153,Houston,2099,high,80
13,13155,Irwin,2045,low,28
13,13155,Irwin,2045,high,30
13,13155,Irwin,2065,low,40
13,13155,Irwin,2065,high,48
13,13155,Irwin,2099,low,49
13,13155,Irwin,2099,high,78
13,13157,Jackson,2045,low,27
13,13157,Jackson,2045,high,30
13,13157,Jackson,2065,low,41
13,13157,Jackson,2065,high,51
13,13157,Jackson,2099,low,52
13,13157,Jackson,2099,high,84
13,13159,Jasper,2045,low,28
13,13159,Jasper,2045,high,31
13,13159,Jasper,2065,low,42
13,13159,Jasper,2065,high,50
13,13159,Jasper,2099,low,52
13,13159,Jasper,2099,high,83
13,13161,Jeff Davis,2045,low,30
13,13161,Jeff Davis,2045,high,32
13,13161,Jeff Davis,2065,low,43
13,13161,Jeff Davis,2065,high,51
13,13161,Jeff Davis,2099,low,52
13,13161,Jeff Davis,2099,high,82
13,13163,Jefferson,2045,low,30
13,13163,Jefferson,2045,high,32
13,13163,Jefferson,2065,low,43
13,13163,Jefferson,2065,high,51
13,13163,Jefferson,2099,low,52
13,13163,Jefferson,2099,high,82
13,13165,Jenkins,2045,low,28
13,13165,Jenkins,2045,high,29
13,13165,Jenkins,2065,low,39
13,13165,Jenkins,2065,high,47
13,13165,Jenkins,2099,low,49
13,13165,Jenkins,2099,high,78
13,13167,Johnson,2045,low,29
13,13167,Johnson,2045,high,31
13,13167,Johnson,2065,low,41
13,13167,Johnson,2065,high,49
13,13167,Johnson,2099,low,50
13,13167,Johnson,2099,high,78
13,13169,Jones,2045,low,30
13,13169,Jones,2045,high,33
13,13169,Jones,2065,low,43
13,13169,Jones,2065,high,51
13,13169,Jones,2099,low,53
13,13169,Jones,2099,high,83
13,13171,Lamar,2045,low,32
13,13171,Lamar,2045,high,35
13,13171,Lamar,2065,low,45
13,13171,Lamar,2065,high,54
13,13171,Lamar,2099,low,56
13,13171,Lamar,2099,high,87
13,13173,Lanier,2045,low,30
13,13173,Lanier,2045,high,32
13,13173,Lanier,2065,low,42
13,13173,Lanier,2065,high,49
13,13173,Lanier,2099,low,50
13,13173,Lanier,2099,high,80
13,13175,Laurens,2045,low,28
13,13175,Laurens,2045,high,29
13,13175,Laurens,2065,low,39
13,13175,Laurens,2065,high,46
13,13175,Laurens,2099,low,48
13,13175,Laurens,2099,high,75
13,13177,Lee,2045,low,28
13,13177,Lee,2045,high,30
13,13177,Lee,2065,low,40
13,13177,Lee,2065,high,47
13,13177,Lee,2099,low,49
13,13177,Lee,2099,high,79
13,13179,Liberty,2045,low,29
13,13179,Liberty,2045,high,31
13,13179,Liberty,2065,low,42
13,13179,Liberty,2065,high,50
13,13179,Liberty,2099,low,51
13,13179,Liberty,2099,high,82
13,13181,Lincoln,2045,low,28
13,13181,Lincoln,2045,high,30
13,13181,Lincoln,2065,low,39
13,13181,Lincoln,2065,high,48
13,13181,Lincoln,2099,low,49
13,13181,Lincoln,2099,high,77
13,13183,Long,2045,low,30
13,13183,Long,2045,high,32
13,13183,Long,2065,low,42
13,13183,Long,2065,high,51
13,13183,Long,2099,low,52
13,13183,Long,2099,high,83
13,13185,Lowndes,2045,low,31
13,13185,Lowndes,2045,high,33
13,13185,Lowndes,2065,low,44
13,13185,Lowndes,2065,high,52
13,13185,Lowndes,2099,low,53
13,13185,Lowndes,2099,high,83
13,13187,Lumpkin,2045,low,23
13,13187,Lumpkin,2045,high,26
13,13187,Lumpkin,2065,low,36
13,13187,Lumpkin,2065,high,47
13,13187,Lumpkin,2099,low,47
13,13187,Lumpkin,2099,high,83
13,13193,Macon,2045,low,30
13,13193,Macon,2045,high,32
13,13193,Macon,2065,low,43
13,13193,Macon,2065,high,51
13,13193,Macon,2099,low,53
13,13193,Macon,2099,high,82
13,13195,Madison,2045,low,26
13,13195,Madison,2045,high,29
13,13195,Madison,2065,low,39
13,13195,Madison,2065,high,49
13,13195,Madison,2099,low,50
13,13195,Madison,2099,high,83
13,13197,Marion,2045,low,31
13,13197,Marion,2045,high,33
13,13197,Marion,2065,low,44
13,13197,Marion,2065,high,53
13,13197,Marion,2099,low,55
13,13197,Marion,2099,high,86
13,13189,McDuffie,2045,low,29
13,13189,McDuffie,2045,high,31
13,13189,McDuffie,2065,low,42
13,13189,McDuffie,2065,high,50
13,13189,McDuffie,2099,low,52
13,13189,McDuffie,2099,high,81
13,13191,McIntosh,2045,low,29
13,13191,McIntosh,2045,high,32
13,13191,McIntosh,2065,low,43
13,13191,McIntosh,2065,high,53
13,13191,McIntosh,2099,low,53
13,13191,McIntosh,2099,high,84
13,13199,Meriwether,2045,low,29
13,13199,Meriwether,2045,high,32
13,13199,Meriwether,2065,low,43
13,13199,Meriwether,2065,high,52
13,13199,Meriwether,2099,low,54
13,13199,Meriwether,2099,high,87
13,13201,Miller,2045,low,29
13,13201,Miller,2045,high,31
13,13201,Miller,2065,low,41
13,13201,Miller,2065,high,49
13,13201,Miller,2099,low,50
13,13201,Miller,2099,high,80
13,13205,Mitchell,2045,low,29
13,13205,Mitchell,2045,high,31
13,13205,Mitchell,2065,low,41
13,13205,Mitchell,2065,high,49
13,13205,Mitchell,2099,low,51
13,13205,Mitchell,2099,high,81
13,13207,Monroe,2045,low,32
13,13207,Monroe,2045,high,34
13,13207,Monroe,2065,low,45
13,13207,Monroe,2065,high,53
13,13207,Monroe,2099,low,54
13,13207,Monroe,2099,high,84
13,13209,Montgomery,2045,low,28
13,13209,Montgomery,2045,high,30
13,13209,Montgomery,2065,low,40
13,13209,Montgomery,2065,high,47
13,13209,Montgomery,2099,low,48
13,13209,Montgomery,2099,high,77
13,13211,Morgan,2045,low,28
13,13211,Morgan,2045,high,31
13,13211,Morgan,2065,low,41
13,13211,Morgan,2065,high,50
13,13211,Morgan,2099,low,52
13,13211,Morgan,2099,high,82
13,13213,Murray,2045,low,24
13,13213,Murray,2045,high,27
13,13213,Murray,2065,low,37
13,13213,Murray,2065,high,47
13,13213,Murray,2099,low,47
13,13213,Murray,2099,high,81
13,13215,Muscogee,2045,low,30
13,13215,Muscogee,2045,high,33
13,13215,Muscogee,2065,low,43
13,13215,Muscogee,2065,high,51
13,13215,Muscogee,2099,low,53
13,13215,Muscogee,2099,high,81
13,13217,Newton,2045,low,29
13,13217,Newton,2045,high,32
13,13217,Newton,2065,low,42
13,13217,Newton,2065,high,51
13,13217,Newton,2099,low,52
13,13217,Newton,2099,high,83
13,13219,Oconee,2045,low,27
13,13219,Oconee,2045,high,30
13,13219,Oconee,2065,low,40
13,13219,Oconee,2065,high,49
13,13219,Oconee,2099,low,50
13,13219,Oconee,2099,high,82
13,13221,Oglethorpe,2045,low,28
13,13221,Oglethorpe,2045,high,30
13,13221,Oglethorpe,2065,low,41
13,13221,Oglethorpe,2065,high,50
13,13221,Oglethorpe,2099,low,51
13,13221,Oglethorpe,2099,high,83
13,13223,Paulding,2045,low,27
13,13223,Paulding,2045,high,30
13,13223,Paulding,2065,low,40
13,13223,Paulding,2065,high,50
13,13223,Paulding,2099,low,50
13,13223,Paulding,2099,high,84
13,13225,Peach,2045,low,30
13,13225,Peach,2045,high,32
13,13225,Peach,2065,low,43
13,13225,Peach,2065,high,51
13,13225,Peach,2099,low,53
13,13225,Peach,2099,high,82
13,13227,Pickens,2045,low,21
13,13227,Pickens,2045,high,24
13,13227,Pickens,2065,low,33
13,13227,Pickens,2065,high,43
13,13227,Pickens,2099,low,43
13,13227,Pickens,2099,high,79
13,13229,Pierce,2045,low,30
13,13229,Pierce,2045,high,32
13,13229,Pierce,2065,low,42
13,13229,Pierce,2065,high,51
13,13229,Pierce,2099,low,52
13,13229,Pierce,2099,high,83
13,13231,Pike,2045,low,31
13,13231,Pike,2045,high,34
13,13231,Pike,2065,low,44
13,13231,Pike,2065,high,54
13,13231,Pike,2099,low,55
13,13231,Pike,2099,high,87
13,13233,Polk,2045,low,27
13,13233,Polk,2045,high,30
13,13233,Polk,2065,low,41
13,13233,Polk,2065,high,51
13,13233,Polk,2099,low,52
13,13233,Polk,2099,high,86
13,13235,Pulaski,2045,low,27
13,13235,Pulaski,2045,high,28
13,13235,Pulaski,2065,low,38
13,13235,Pulaski,2065,high,45
13,13235,Pulaski,2099,low,47
13,13235,Pulaski,2099,high,75
13,13237,Putnam,2045,low,29
13,13237,Putnam,2045,high,31
13,13237,Putnam,2065,low,41
13,13237,Putnam,2065,high,49
13,13237,Putnam,2099,low,51
13,13237,Putnam,2099,high,80
13,13239,Quitman,2045,low,30
13,13239,Quitman,2045,high,33
13,13239,Quitman,2065,low,43
13,13239,Quitman,2065,high,51
13,13239,Quitman,2099,low,54
13,13239,Quitman,2099,high,83
13,13241,Rabun,2045,low,13
13,13241,Rabun,2045,high,15
13,13241,Rabun,2065,low,22
13,13241,Rabun,2065,high,31
13,13241,Rabun,2099,low,31
13,13241,Rabun,2099,high,68
13,13243,Randolph,2045,low,29
13,13243,Randolph,2045,high,31
13,13243,Randolph,2065,low,42
13,13243,Randolph,2065,high,50
13,13243,Randolph,2099,low,52
13,13243,Randolph,2099,high,81
13,13245,Richmond,2045,low,30
13,13245,Richmond,2045,high,32
13,13245,Richmond,2065,low,43
13,13245,Richmond,2065,high,51
13,13245,Richmond,2099,low,53
13,13245,Richmond,2099,high,82
13,13247,Rockdale,2045,low,28
13,13247,Rockdale,2045,high,31
13,13247,Rockdale,2065,low,42
13,13247,Rockdale,2065,high,51
13,13247,Rockdale,2099,low,52
13,13247,Rockdale,2099,high,84
13,13249,Schley,2045,low,30
13,13249,Schley,2045,high,33
13,13249,Schley,2065,low,43
