"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Heat Metric","Absolute Threshold"
"13","Georgia","13003","Atkinson","1983","30","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1984","20","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1985","39","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1986","57","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1987","43","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1988","44","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1989","32","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1990","93","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1991","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1992","18","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1993","69","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1994","6","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1995","49","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1996","47","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1997","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1998","80","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","1999","55","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2000","66","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2001","22","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2002","55","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2003","14","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2004","60","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2005","40","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2006","84","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2007","82","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2008","65","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2009","113","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2010","107","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2011","118","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2012","63","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2013","34","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2014","101","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2015","76","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2016","83","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2017","56","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2018","59","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2019","101","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2020","68","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13003","Atkinson","2021","48","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1979","27","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1980","71","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1981","77","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1982","18","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1983","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1984","28","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1985","41","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1986","65","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1987","52","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1988","48","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1989","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1990","96","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1991","28","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1992","20","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1993","69","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1994","16","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1995","51","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1996","51","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1997","39","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1998","80","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","1999","59","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2000","68","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2001","30","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2002","53","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2003","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2004","57","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2005","46","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2006","81","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2007","79","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2008","65","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2009","110","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2010","114","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2011","118","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2012","66","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2013","35","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2014","100","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2015","80","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2016","87","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2017","62","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2018","69","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2019","106","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2020","71","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13005","Bacon","2021","55","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1979","25","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1980","65","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1981","65","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1982","15","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1983","27","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1984","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1985","30","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1986","76","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1987","32","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1988","38","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1989","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1990","77","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1991","16","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1992","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1993","63","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1994","3","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1995","49","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1996","38","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1997","31","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1998","81","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","1999","60","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2000","91","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2001","19","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2002","57","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2003","7","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2004","50","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2005","38","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2006","84","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2007","99","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2008","61","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2009","111","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2010","100","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2011","122","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2012","87","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2013","38","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2014","102","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2015","76","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2016","90","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2017","45","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2018","60","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2019","104","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2020","79","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13007","Baker","2021","48","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1979","30","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1980","79","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1981","66","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1982","17","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1983","39","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1984","16","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1985","48","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1986","76","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1987","40","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1988","57","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1989","24","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1990","61","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1991","24","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1992","18","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1993","62","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1994","6","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1995","41","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1996","22","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1997","32","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1998","55","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","1999","61","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2000","82","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2001","21","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2002","67","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2003","4","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2004","47","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
"13","Georgia","13009","Baldwin","2005","37","","Heat Metric: Daily Maximum Temperature","Absolute Threshold: 90 degrees F"
