"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment","Emissions Scenario","Absolute Threshold"
"13","Georgia","13015","Bartow","2070","2099","50","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13015","Bartow","2070","2099","83","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2016","2045","27","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2016","2045","28","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2036","2065","38","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2036","2065","45","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2070","2099","47","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13017","Ben Hill","2070","2099","75","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13019","Berrien","2016","2045","30","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13019","Berrien","2016","2045","32","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13019","Berrien","2036","2065","42","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13019","Berrien","2036","2065","50","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13019","Berrien","2070","2099","51","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13019","Berrien","2070","2099","82","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13021","Bibb","2016","2045","29","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13021","Bibb","2016","2045","32","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13021","Bibb","2036","2065","42","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13021","Bibb","2036","2065","50","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13021","Bibb","2070","2099","52","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13021","Bibb","2070","2099","81","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13023","Bleckley","2016","2045","28","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13023","Bleckley","2016","2045","29","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13023","Bleckley","2036","2065","40","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13023","Bleckley","2036","2065","47","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13023","Bleckley","2070","2099","49","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13023","Bleckley","2070","2099","78","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13025","Brantley","2016","2045","30","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13025","Brantley","2016","2045","33","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13025","Brantley","2036","2065","43","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13025","Brantley","2036","2065","53","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13025","Brantley","2070","2099","54","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13025","Brantley","2070","2099","87","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13027","Brooks","2016","2045","31","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13027","Brooks","2016","2045","33","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13027","Brooks","2036","2065","44","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13027","Brooks","2036","2065","53","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13027","Brooks","2070","2099","54","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13027","Brooks","2070","2099","85","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13029","Bryan","2016","2045","30","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13029","Bryan","2016","2045","32","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13029","Bryan","2036","2065","43","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13029","Bryan","2036","2065","51","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13029","Bryan","2070","2099","53","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13029","Bryan","2070","2099","83","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13031","Bulloch","2016","2045","31","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13031","Bulloch","2016","2045","33","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13031","Bulloch","2036","2065","44","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13031","Bulloch","2036","2065","52","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13031","Bulloch","2070","2099","53","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13031","Bulloch","2070","2099","82","","Emissions Scenario: High Emissions (RCP 8.5)","Absolute Threshold: 90 degrees F"
"13","Georgia","13033","Burke","2016","2045","29","","Emissions Scenario: Low Emissions (RCP 4.5)","Absolute Threshold: 90 degrees F"
